,Valid Domains,MXRecords
373,q2l.org,aspmx2.googlemail.com.
374,fda2.org,ms75264424.msv1.invalid.
375,hseigators.org,alt1.aspmx.l.google.com.
376,leadershipnyc.org,alt1.aspmx.l.google.com.
377,motthall2.org,aspmx3.googlemail.COM.
378,maalnyc.org,alt2.aspmx.l.google.com.
379,lmc896.org,aspmx2.googlemail.com.
380,tepcharter.org,tepcharter-org.mail.protection.outlook.com.
381,zetaschools.org,alt4.aspmx.l.google.com.
382,cpe2.org,aspmx.l.google.com.
383,gramercyhs.org,alt1.aspmx.l.google.com.
384,innovationhighschool.org,aspmx.l.google.com.
385,mosaicprep.org,aspmx2.googlemail.com.
386,mcsm.org,mail.mcsm.org.
387,ballettech.org,ALT2.ASPMX.L.GOOGLE.COM.
388,eschs.org,aspmx2.googlemail.com.
389,ps452.org,aspmx4.googlemail.com.
390,mihsnyc.org,alt3.aspmx.l.google.com.
391,myhslps.org,alt2.aspmx.l.google.com.
392,ps2q.org,alt1.aspmx.l.google.com.
393,stuy.org,aspmx3.googlemail.com.
394,is5q.org,aspmx.l.google.com.
395,inwoodacademy.org,inwoodacademy-org.mail.protection.outlook.com.
396,ps7queens.org,aspmx.l.google.com.
397,beaconschool.org,alt1.aspmx.l.google.com.
398,nycischool.org,aspmx.l.google.com.
399,sgl378.org,aspmx2.googlemail.com.
400,ps11q.org,mx-biz.mail.am0.yahoodns.net.
401,laguardiahs.org,alt2.aspmx.l.google.com.
402,ecoandfin.org,alt1.aspmx.l.google.com.
403,lacjhs.org,alt1.aspmx.l.google.com.
404,wearedream.org,alt3.aspmx.l.google.com.
405,hsartstech.org,aspmx3.googlemail.com.
406,parkeasths.org,alt3.aspmx.l.google.com.
407,ps17queens.org,mailstore1.secureserver.net.
408,ps19q.org,aspmx3.googlemail.com.
409,ps20q.org,aspmx.l.google.com.
410,adcs2.org,alt2.aspmx.l.google.com.
411,ps21queens.org,alt1.aspmx.l.google.com.
412,tccsps517.org,alt1.aspmx.l.google.com.
413,mbanyc.org,alt1.aspmx.l.google.com.
414,nycboss.org,aspmx.l.google.com.
415,tuhs.org,minnie.tuhs.org.
416,emmalazarus.org,aspmx4.googlemail.com.
417,aschoolwithoutwalls.org,alt2.aspmx.l.google.com.
418,sprucestreetnyc.org,alt1.aspmx.l.google.com.
